packerid,casingtubingid,packerdepth,packertype,createddate,updateddate,deleteddate,entl_region,entl_country,entl_state,entl_county,entl_offshorecode,region,country,stateprovince,county,field,basinname,district
996995,7782577,4619.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,BENT,,NAM,US,CO,BENT,MCCLAVE,LAS ANIMAS ARCH,
996994,7782573,4452.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,BENT,,NAM,US,CO,BENT,WAGON TRAIL,LAS ANIMAS ARCH,
996993,7782493,4590.0,,2018-12-11 06:22:02.833,2019-03-16 05:31:58.860,,NAM,US,CO,BENT,,NAM,US,CO,BENT,MCCLAVE,LAS ANIMAS ARCH,
996992,7782390,3665.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,BACA,,NAM,US,CO,BACA,WILDCAT,ANADARKO BASIN,
996991,7782373,3224.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,BACA,,NAM,US,CO,BACA,WALSH,ANADARKO BASIN,
996990,7782151,4722.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,BENT,,NAM,US,CO,BENT,MCCLAVE,LAS ANIMAS ARCH,
996989,7782109,4483.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,BENT,,NAM,US,CO,BENT,WAGON TRAIL,LAS ANIMAS ARCH,
996988,7782106,4634.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,BENT,,NAM,US,CO,BENT,WAGON TRAIL,LAS ANIMAS ARCH,
996987,7781929,5217.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,BENT,,NAM,US,CO,BENT,WILDCAT,LAS ANIMAS ARCH,
996986,7781897,3916.0,,2018-12-11 06:22:02.833,2019-04-05 06:37:00.317,,NAM,US,CO,BACA,,NAM,US,CO,BACA,CAMPO,ANADARKO BASIN,
996985,7781046,4593.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,BENT,,NAM,US,CO,BENT,WAGON TRAIL,LAS ANIMAS ARCH,
996984,7780931,6221.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,BENT,,NAM,US,CO,BENT,WILDCAT,LAS ANIMAS ARCH,
996983,7780911,7585.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,BOULDER,,NAM,US,CO,BOULDER,WATTENBERG,DENVER JULESBURG,
996982,7780685,8049.0,,2018-12-11 06:22:02.833,2018-12-14 06:49:17.983,,NAM,US,CO,BROOMFIELD,,NAM,US,CO,BROOMFIELD,WATTENBERG,,
996981,7780372,8134.0,,2018-12-11 06:22:02.833,2018-12-14 06:49:17.983,,NAM,US,CO,BROOMFIELD,,NAM,US,CO,BROOMFIELD,WATTENBERG,,
996980,7780335,1621.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,BACA,,NAM,US,CO,BACA,WILDCAT,ANADARKO BASIN,
996979,7780322,7969.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,ADAMS,,NAM,US,CO,ADAMS,BOX ELDER CREEK,DENVER JULESBURG,
996920,7900255,6822.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996919,7899231,7383.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996918,7898623,6703.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996917,7897967,7531.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996916,7897919,7059.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996915,7892589,6563.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,WATTENBERG,DENVER JULESBURG,
996914,7885696,4309.0,,2018-12-11 06:22:02.833,2019-03-02 09:29:48.883,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,SIOUX,DENVER JULESBURG,
996913,7883816,8923.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WELD,,NAM,US,CO,WELD,BLACK HOLLOW,DENVER JULESBURG,
996912,7879722,4044.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,SHOAL,DENVER JULESBURG,
996911,7879113,7114.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,ROUTT,,NAM,US,CO,ROUTT,WILDCAT,GREEN RIVER,
996910,7878718,4151.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,RANGER,DENVER JULESBURG,
996909,7878632,4457.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,BLADE,DENVER JULESBURG,
996908,7878379,3879.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,RUSH WILLADEL,DENVER JULESBURG,
996907,7874972,5075.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,BOBCAT,DENVER JULESBURG,
996906,7874828,4600.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,MORGAN,,NAM,US,CO,MORGAN,ADENA,DENVER JULESBURG,
996905,7874001,4004.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,CODY,DENVER JULESBURG,
996904,7873499,4869.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,WARD,DENVER JULESBURG,
996903,7873376,6381.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996902,7872450,3918.0,,2018-12-11 06:22:02.833,2019-06-05 04:03:06.393,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,OTIS,DENVER JULESBURG,
996901,7872352,6560.0,,2018-12-11 06:22:02.833,2019-02-28 07:25:20.333,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996900,7872345,7290.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,SAN MIGUEL,,NAM,US,CO,SAN MIGUEL,HAMILTON CREEK,PARADOX,
996899,7871111,6358.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996898,7869508,5793.0,,2018-12-11 06:22:02.833,2019-03-16 05:31:58.860,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996897,7868551,5406.0,,2018-12-11 06:22:02.833,2019-03-16 05:31:58.860,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996896,7868535,5410.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996895,7868257,5527.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996894,7867870,5003.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,PROWERS,,NAM,US,CO,PROWERS,SIGNAL HILL,ANADARKO BASIN,
996893,7867574,4558.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996892,7866978,3670.0,,2018-12-11 06:22:02.833,2019-03-16 05:31:58.860,,NAM,US,CO,PHILLIPS,,NAM,US,CO,PHILLIPS,HOLYOKE SOUTH,DENVER JULESBURG,
996891,7866498,3817.0,,2018-12-11 06:22:02.833,2019-05-02 04:36:03.550,,NAM,US,CO,WASHINGTON,,NAM,US,CO,WASHINGTON,BLADE,DENVER JULESBURG,
996890,7866137,7231.0,,2018-12-11 06:22:02.833,2019-04-05 06:37:00.317,,NAM,US,CO,SAN MIGUEL,,NAM,US,CO,SAN MIGUEL,HAMILTON CREEK,PARADOX,
996889,7866068,6037.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,MORGAN,,NAM,US,CO,MORGAN,BIJOU,DENVER JULESBURG,
996888,7860854,5654.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996887,7860664,5391.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996886,7860133,6356.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,RANGELY,PICEANCE,
996885,7859692,4574.0,,2018-12-11 06:22:02.833,2019-03-15 04:24:26.943,,NAM,US,CO,RIO BLANCO,,NAM,US,CO,RIO BLANCO,WILLOW CREEK,PICEANCE,
996884,7859606,4411.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,LOGAN,,NAM,US,CO,LOGAN,ATWOOD EAST,DENVER JULESBURG,
996883,7859498,5812.0,,2018-12-11 06:22:02.833,2018-12-11 06:22:02.833,,NAM,US,CO,MONTEZUMA,,NAM,US,CO,MONTEZUMA,ROADRUNNER,PARADOX,
996882,7859225,4171.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,MONTEZUMA,,NAM,US,CO,MONTEZUMA,WILDCAT,PARADOX,
996881,7858812,5015.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,MORGAN,,NAM,US,CO,MORGAN,JUBILEE,DENVER JULESBURG,
996880,7857769,5597.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,MONTEZUMA,,NAM,US,CO,MONTEZUMA,TOWAOC,PARADOX,
996879,7857678,5545.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,MONTEZUMA,,NAM,US,CO,MONTEZUMA,CACHE,PARADOX,
996878,7856818,7092.0,,2018-12-11 06:22:02.833,2019-03-16 05:31:58.860,,NAM,US,CO,MOFFAT,,NAM,US,CO,MOFFAT,TEARDROP,GREEN RIVER,
996877,7854553,5704.0,,2018-12-11 06:22:02.833,2019-01-17 06:15:12.173,,NAM,US,CO,LOGAN,,NAM,US,CO,LOGAN,CHAMPION,DENVER JULESBURG,
996876,7854186,4938.0,,2018-12-11 06:22:02.833,2019-03-16 05:31:58.860,,NAM,US,CO,LOGAN,,NAM,US,CO,LOGAN,PADRONI WEST,DENVER JULESBURG,
996875,7854155,5393.0,,2018-12-11 06:22:02.833,2019-03-15 04:24:26.943,,NAM,US,CO,LOGAN,,NAM,US,CO,LOGAN,SABER,DENVER JULESBURG,
996874,7854034,5796.0,,2018-12-11 06:22:02.833,2019-04-18 04:22:31.880,,NAM,US,CO,MONTEZUMA,,NAM,US,CO,MONTEZUMA,WILDCAT,PARADOX,
